meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.203,0.065,0.22,0.168,0.256,0.088,1.889,6.888,0.937,0.585,0.269,0.203,0.11,0.016,0.267,0.984,0.234,7,6.766,0.12,male
0.194,0.068,0.211,0.159,0.249,0.09,1.681,6.282,0.949,0.643,0.269,0.194,0.112,0.018,0.246,0.768,0.242,6.047,5.805,0.137,male
0.153,0.063,0.129,0.104,0.21,0.106,3.101,16.347,0.917,0.5,0.108,0.153,0.105,0.023,0.271,0.586,0.008,4.508,4.5,0.181,male
0.156,0.062,0.147,0.105,0.207,0.102,2.231,8.435,0.923,0.531,0.098,0.156,0.091,0.017,0.222,0.298,0.008,0.688,0.68,0.301,male
0.155,0.071,0.15,0.096,0.202,0.105,2.863,13.298,0.915,0.504,0.098,0.155,0.095,0.016,0.271,0.3,0.008,0.656,0.648,0.301,male
0.144,0.064,0.118,0.099,0.198,0.099,3.983,25.744,0.91,0.499,0.099,0.144,0.1,0.016,0.271,0.441,0.008,2.555,2.547,0.148,male
0.16,0.064,0.163,0.104,0.211,0.107,2.7,13.175,0.913,0.451,0.097,0.16,0.094,0.017,0.229,0.434,0.008,5.086,5.078,0.092,male
0.159,0.064,0.164,0.104,0.21,0.106,2.31,10.436,0.931,0.511,0.103,0.159,0.09,0.016,0.151,0.586,0.094,4.938,4.844,0.059,male
0.162,0.069,0.173,0.096,0.209,0.114,2.376,9.907,0.923,0.525,0.091,0.162,0.108,0.017,0.271,0.331,0.008,0.641,0.633,0.309,male
0.144,0.078,0.134,0.092,0.212,0.121,1.818,6.203,0.951,0.677,0.095,0.144,0.118,0.022,0.271,0.417,0.008,1.742,1.734,0.151,male
0.149,0.076,0.162,0.097,0.215,0.118,2.2,8.003,0.937,0.607,0.214,0.149,0.119,0.017,0.276,0.44,0.008,2.289,2.281,0.118,male
0.148,0.087,0.143,0.084,0.227,0.142,1.401,5.915,0.967,0.754,0.005,0.148,0.128,0.017,0.276,0.745,0.008,6.422,6.414,0.159,male
0.138,0.083,0.142,0.084,0.21,0.125,2.144,10.732,0.963,0.728,0.007,0.138,0.122,0.017,0.276,0.653,0.008,4.68,4.672,0.175,male
0.152,0.077,0.147,0.096,0.218,0.122,2.009,8.231,0.952,0.659,0.098,0.152,0.115,0.016,0.276,0.582,0.008,4.664,4.656,0.101,male
0.141,0.085,0.126,0.081,0.218,0.137,1.307,4.382,0.957,0.689,0.21,0.141,0.118,0.03,0.262,0.882,0.008,4.805,4.797,0.117,male
0.139,0.088,0.134,0.052,0.225,0.173,1.254,4.732,0.968,0.758,0.013,0.139,0.124,0.019,0.25,0.498,0.008,4.594,4.586,0.098,male
0.149,0.079,0.129,0.096,0.221,0.126,1.658,5.677,0.945,0.605,0.207,0.149,0.114,0.025,0.276,0.359,0.008,1.766,1.758,0.147,male
0.162,0.074,0.183,0.103,0.226,0.124,1.319,4.687,0.962,0.727,0.099,0.162,0.114,0.05,0.276,0.643,0.047,4.313,4.266,0.187,male
0.153,0.073,0.16,0.1,0.213,0.114,1.838,7.524,0.968,0.776,0.211,0.153,0.102,0.017,0.219,0.293,0.039,0.563,0.523,0.343,male
0.165,0.068,0.18,0.104,0.217,0.113,1.349,4.432,0.952,0.671,0.099,0.165,0.102,0.07,0.13,0.317,0.102,0.711,0.609,0.33,male
0.102,0.076,0.093,0.031,0.177,0.147,14.345,414.847,0.949,0.666,0,0.102,0.102,0.016,0.271,0.049,0.008,0.219,0.211,0.257,male
0.146,0.079,0.125,0.107,0.224,0.117,8.716,159.693,0.911,0.532,0,0.146,0.121,0.016,0.262,0.062,0.008,0.242,0.234,0.251,male
0.105,0.081,0.09,0.035,0.186,0.151,6.824,124.101,0.939,0.586,0,0.105,0.127,0.019,0.271,0.086,0.008,0.25,0.242,0.474,male
0.117,0.077,0.108,0.05,0.201,0.151,10.649,228.008,0.945,0.653,0,0.117,0.111,0.016,0.258,0.081,0.008,1.344,1.336,0.095,male
0.144,0.074,0.122,0.104,0.216,0.113,12.401,292.575,0.9,0.477,0,0.144,0.112,0.017,0.276,0.042,0.008,0.234,0.227,0.201,male
0.14,0.077,0.12,0.105,0.218,0.113,10.542,197.317,0.898,0.499,0,0.14,0.115,0.021,0.242,0.059,0.008,0.234,0.227,0.269,male
0.117,0.081,0.109,0.041,0.206,0.166,9.818,185.321,0.933,0.622,0,0.117,0.119,0.016,0.262,0.038,0.008,0.242,0.234,0.135,male
0.138,0.08,0.124,0.101,0.221,0.12,17.193,446.229,0.922,0.597,0,0.138,0.102,0.016,0.25,0.046,0.008,0.477,0.469,0.133,male
0.145,0.077,0.124,0.106,0.221,0.116,10.475,194.629,0.899,0.495,0,0.145,0.106,0.016,0.271,0.05,0.008,0.391,0.383,0.146,male
0.135,0.078,0.117,0.093,0.216,0.122,8.525,144.544,0.922,0.581,0,0.135,0.095,0.016,0.195,0.069,0.008,0.492,0.484,0.151,male
0.121,0.076,0.109,0.059,0.204,0.145,10.175,181.918,0.926,0.614,0,0.121,0.105,0.017,0.254,0.021,0.008,0.117,0.109,0.188,male
0.111,0.078,0.103,0.034,0.193,0.158,17.724,579.126,0.942,0.621,0,0.111,0.094,0.016,0.267,0.062,0.008,1,0.992,0.083,male
0.142,0.077,0.126,0.101,0.208,0.107,3.578,23.853,0.943,0.658,0,0.142,0.12,0.028,0.246,0.094,0.008,0.414,0.406,0.152,male
0.141,0.08,0.122,0.094,0.228,0.134,5.175,41.868,0.936,0.64,0,0.141,0.124,0.016,0.267,0.143,0.008,0.945,0.938,0.184,male
0.152,0.086,0.133,0.097,0.237,0.14,2.543,14.768,0.934,0.583,0,0.152,0.114,0.018,0.262,0.141,0.008,1.625,1.617,0.087,male
0.157,0.083,0.148,0.111,0.235,0.123,2.944,16.404,0.927,0.575,0,0.157,0.121,0.021,0.254,0.153,0.008,0.563,0.555,0.325,male
0.15,0.082,0.13,0.107,0.23,0.122,5.485,73.98,0.933,0.588,0,0.15,0.132,0.02,0.276,0.107,0.008,0.523,0.516,0.264,male
0.169,0.078,0.158,0.12,0.24,0.121,3.82,21.642,0.884,0.471,0,0.169,0.112,0.028,0.25,0.136,0.008,0.516,0.508,0.388,male
0.143,0.083,0.127,0.088,0.229,0.141,4.052,33.207,0.94,0.654,0,0.143,0.092,0.016,0.262,0.059,0.008,0.258,0.25,0.264,male
0.165,0.076,0.148,0.116,0.236,0.12,3.346,25.222,0.922,0.544,0,0.165,0.123,0.03,0.254,0.135,0.008,0.523,0.516,0.343,male
0.113,0.086,0.114,0.026,0.189,0.163,2.514,16.06,0.95,0.694,0,0.113,0.117,0.018,0.271,0.114,0.008,0.594,0.586,0.289,male
0.157,0.082,0.136,0.112,0.238,0.127,3.784,36.992,0.927,0.559,0,0.157,0.134,0.021,0.262,0.1,0.008,0.539,0.531,0.244,male
0.116,0.083,0.105,0.035,0.194,0.159,18.539,654.156,0.959,0.701,0,0.116,0.092,0.016,0.276,0.038,0.008,0.531,0.523,0.077,male
0.155,0.07,0.14,0.108,0.219,0.111,5.448,58.053,0.887,0.463,0,0.155,0.11,0.016,0.271,0.091,0.008,0.633,0.625,0.133,male
0.144,0.079,0.12,0.101,0.226,0.125,5.942,83.736,0.917,0.525,0,0.144,0.116,0.018,0.262,0.125,0.008,0.617,0.609,0.265,male
0.123,0.079,0.111,0.05,0.212,0.162,4.565,58.593,0.941,0.599,0,0.123,0.103,0.016,0.276,0.091,0.008,0.43,0.422,0.193,male
0.122,0.077,0.109,0.053,0.201,0.147,3.54,33.243,0.954,0.673,0,0.122,0.109,0.018,0.262,0.081,0.008,0.234,0.227,0.188,male
0.134,0.079,0.116,0.078,0.21,0.132,3.165,22.59,0.95,0.673,0,0.134,0.097,0.017,0.262,0.105,0.008,0.563,0.555,0.159,male
0.135,0.08,0.115,0.093,0.214,0.121,12.584,291.595,0.908,0.519,0,0.135,0.1,0.017,0.267,0.055,0.008,0.57,0.563,0.108,male
0.149,0.082,0.138,0.1,0.225,0.126,13.722,361.84,0.925,0.548,0,0.149,0.112,0.016,0.271,0.108,0.008,0.633,0.625,0.137,male
0.135,0.08,0.116,0.101,0.214,0.113,8.888,152.92,0.898,0.462,0,0.135,0.102,0.016,0.258,0.03,0.008,0.125,0.117,0.396,male
0.167,0.061,0.159,0.112,0.225,0.113,2.66,12.059,0.912,0.413,0.11,0.167,0.112,0.022,0.25,0.518,0.005,0.786,0.781,0.375,male
0.16,0.061,0.132,0.114,0.223,0.109,2.501,11.115,0.925,0.48,0.12,0.16,0.112,0.015,0.238,0.418,0.088,0.786,0.698,0.595,male
0.158,0.059,0.133,0.108,0.218,0.109,2.85,13.124,0.901,0.39,0.112,0.158,0.109,0.05,0.161,0.519,0.083,0.791,0.708,0.626,male
0.158,0.059,0.135,0.107,0.215,0.107,2.804,12.708,0.898,0.392,0.104,0.158,0.111,0.085,0.256,0.472,0.088,0.801,0.713,0.731,male
0.163,0.058,0.145,0.113,0.218,0.106,2.634,13.16,0.924,0.446,0.11,0.163,0.109,0.037,0.244,0.75,0.088,3.477,3.389,0.248,male
0.155,0.059,0.134,0.11,0.213,0.103,3.015,17.041,0.926,0.47,0.109,0.155,0.11,0.034,0.256,0.84,0.078,3.384,3.306,0.342,male
0.16,0.058,0.135,0.113,0.217,0.105,2.456,10.571,0.916,0.412,0.112,0.16,0.105,0.021,0.145,0.669,0.093,3.35,3.257,0.311,male
0.162,0.06,0.137,0.116,0.217,0.101,2.139,8.769,0.927,0.457,0.116,0.162,0.109,0.031,0.217,0.862,0.117,3.95,3.833,0.265,male
0.158,0.059,0.144,0.107,0.213,0.107,3.303,17.492,0.904,0.411,0.11,0.158,0.103,0.03,0.204,0.53,0.107,0.859,0.752,0.433,male
0.16,0.059,0.141,0.109,0.217,0.108,3.026,14.771,0.903,0.397,0.11,0.16,0.105,0.035,0.227,0.399,0.005,0.786,0.781,0.603,male
0.162,0.061,0.139,0.111,0.22,0.109,2.145,8.393,0.919,0.436,0.111,0.162,0.118,0.031,0.278,0.576,0.083,3.228,3.145,0.197,male
0.16,0.059,0.133,0.111,0.218,0.108,2.355,9.568,0.904,0.381,0.117,0.16,0.108,0.035,0.141,0.467,0.107,0.801,0.693,0.578,male
0.162,0.063,0.14,0.115,0.224,0.109,2.545,12.464,0.927,0.479,0.112,0.162,0.112,0.029,0.25,0.559,0.005,1.035,1.03,0.398,male
0.17,0.063,0.144,0.117,0.23,0.112,2.401,11.12,0.923,0.433,0.115,0.17,0.119,0.044,0.208,0.541,0.088,0.898,0.811,0.582,male
0.165,0.062,0.135,0.118,0.225,0.107,2.632,12.629,0.919,0.414,0.129,0.165,0.12,0.035,0.222,0.459,0.088,1.016,0.928,0.46,male
0.165,0.061,0.133,0.117,0.227,0.11,2.807,13.196,0.911,0.409,0.121,0.165,0.115,0.027,0.27,0.537,0.005,0.952,0.947,0.384,male
0.158,0.062,0.129,0.113,0.226,0.113,3.054,14.921,0.912,0.442,0.116,0.158,0.117,0.039,0.227,0.362,0.005,0.786,0.781,0.53,male
0.159,0.059,0.134,0.108,0.216,0.107,2.863,13.548,0.903,0.383,0.107,0.159,0.11,0.015,0.233,0.424,0.093,0.84,0.747,0.636,male
0.156,0.059,0.128,0.107,0.214,0.106,3.171,15.725,0.897,0.391,0.109,0.156,0.119,0.068,0.263,0.406,0.059,0.796,0.737,0.556,male
0.161,0.06,0.134,0.114,0.224,0.11,2.696,11.79,0.915,0.443,0.113,0.161,0.116,0.056,0.256,0.469,0.005,0.801,0.796,0.555,male
0.16,0.059,0.149,0.109,0.218,0.109,2.959,14.276,0.903,0.395,0.108,0.16,0.102,0.02,0.127,0.433,0.083,0.854,0.771,0.426,male
0.16,0.059,0.14,0.11,0.219,0.109,2.644,11.804,0.908,0.397,0.112,0.16,0.114,0.031,0.263,0.429,0.088,0.791,0.703,0.603,male
0.162,0.061,0.135,0.112,0.225,0.112,3.404,18.46,0.901,0.396,0.117,0.162,0.12,0.025,0.278,0.385,0.005,0.806,0.801,0.552,male
0.158,0.06,0.133,0.11,0.219,0.109,3.808,22.981,0.905,0.431,0.113,0.158,0.124,0.036,0.27,0.483,0.073,0.811,0.737,0.619,male
0.163,0.063,0.156,0.111,0.224,0.113,3.126,15.665,0.912,0.426,0.115,0.163,0.11,0.044,0.222,0.245,0.034,0.781,0.747,0.262,male
0.169,0.062,0.168,0.114,0.227,0.113,2.489,10.02,0.893,0.332,0.11,0.169,0.115,0.04,0.256,0.318,0.093,0.85,0.757,0.346,male
0.177,0.066,0.161,0.123,0.249,0.126,2.802,13.56,0.912,0.384,0.127,0.177,0.117,0.02,0.164,0.292,0.068,0.776,0.708,0.366,male
0.181,0.066,0.18,0.125,0.25,0.126,2.592,12.204,0.914,0.382,0.125,0.181,0.119,0.044,0.27,0.39,0.005,0.806,0.801,0.283,male
0.163,0.063,0.131,0.116,0.228,0.113,3.152,15.148,0.909,0.435,0.115,0.163,0.116,0.061,0.204,0.382,0.083,1.187,1.104,0.271,male
0.163,0.06,0.132,0.115,0.226,0.111,3.763,23.069,0.902,0.368,0.115,0.163,0.114,0.038,0.278,0.229,0.005,0.732,0.728,0.319,male
0.165,0.062,0.132,0.116,0.229,0.113,3.49,19.092,0.902,0.391,0.119,0.165,0.111,0.028,0.175,0.341,0.005,0.791,0.786,0.352,male
0.167,0.062,0.133,0.117,0.229,0.112,2.686,12.782,0.91,0.381,0.126,0.167,0.112,0.054,0.149,0.371,0.088,0.859,0.771,0.334,male
0.157,0.062,0.129,0.11,0.221,0.11,3.309,18.956,0.921,0.483,0.112,0.157,0.116,0.025,0.27,0.409,0.083,0.864,0.781,0.482,male
0.158,0.062,0.136,0.115,0.224,0.109,2.816,13.846,0.931,0.517,0.116,0.158,0.114,0.026,0.278,0.329,0.083,0.845,0.762,0.426,male
0.166,0.063,0.14,0.123,0.233,0.11,2.736,13.489,0.921,0.462,0.129,0.166,0.125,0.079,0.179,0.499,0.088,0.806,0.718,0.454,male
0.155,0.061,0.129,0.108,0.216,0.107,2.756,12.921,0.918,0.467,0.113,0.155,0.115,0.042,0.217,0.56,0.107,0.889,0.781,0.402,male
0.157,0.062,0.138,0.11,0.217,0.108,2.483,12.775,0.933,0.516,0.109,0.157,0.1,0.015,0.141,0.409,0.054,0.776,0.723,0.615,male
0.16,0.059,0.137,0.112,0.219,0.107,2.725,14.044,0.921,0.446,0.111,0.16,0.108,0.019,0.278,0.674,0.088,3.994,3.906,0.235,male
0.163,0.06,0.141,0.117,0.222,0.104,2.388,11.843,0.93,0.479,0.117,0.163,0.109,0.018,0.244,0.917,0.093,3.975,3.882,0.342,male
0.159,0.059,0.137,0.11,0.215,0.106,2.942,15.318,0.92,0.452,0.111,0.159,0.11,0.046,0.238,0.743,0.005,3.999,3.994,0.267,male
0.157,0.063,0.134,0.11,0.22,0.109,3.361,20.284,0.929,0.511,0.113,0.157,0.103,0.028,0.152,0.515,0.059,0.796,0.737,0.501,male
0.163,0.062,0.148,0.111,0.22,0.11,2.455,11.824,0.933,0.492,0.108,0.163,0.11,0.011,0.227,0.441,0.049,0.786,0.737,0.629,male
0.166,0.062,0.142,0.118,0.229,0.111,2.284,10.581,0.931,0.478,0.121,0.166,0.114,0.036,0.189,0.654,0.083,3.457,3.374,0.264,male
0.16,0.06,0.132,0.112,0.222,0.109,2.634,12.117,0.916,0.439,0.113,0.16,0.109,0.042,0.278,0.932,0.005,3.95,3.945,0.299,male
0.158,0.061,0.133,0.111,0.22,0.109,3.41,17.889,0.912,0.463,0.11,0.158,0.115,0.052,0.263,0.575,0.005,3.955,3.95,0.195,male
0.152,0.059,0.129,0.107,0.212,0.105,3.358,18.65,0.917,0.471,0.107,0.152,0.102,0.048,0.119,0.626,0.005,3.965,3.96,0.16,male
0.161,0.06,0.139,0.115,0.218,0.103,1.995,8.165,0.935,0.491,0.114,0.161,0.116,0.034,0.27,0.574,0.083,2.827,2.744,0.212,male
0.156,0.059,0.127,0.111,0.215,0.104,3.448,19.47,0.913,0.454,0.111,0.156,0.122,0.041,0.263,0.451,0.005,0.796,0.791,0.438,male
0.164,0.06,0.172,0.108,0.219,0.111,2.954,14.334,0.901,0.386,0.107,0.164,0.104,0.013,0.222,0.429,0.005,0.796,0.791,0.554,male
0.171,0.064,0.172,0.115,0.233,0.118,2.361,10.015,0.915,0.426,0.117,0.171,0.116,0.044,0.256,0.467,0.078,0.796,0.718,0.603,male
0.162,0.06,0.14,0.113,0.224,0.112,3.507,20.299,0.907,0.413,0.115,0.162,0.11,0.019,0.27,0.421,0.088,0.771,0.684,0.6,male
0.159,0.06,0.147,0.108,0.217,0.109,3.649,20.8,0.898,0.401,0.111,0.159,0.115,0.079,0.25,0.461,0.088,0.786,0.698,0.552,male
0.158,0.083,0.191,0.062,0.225,0.162,2.801,19.93,0.952,0.679,0.05,0.158,0.185,0.023,0.276,0.273,0.047,0.742,0.695,0.34,female
0.183,0.068,0.201,0.175,0.226,0.051,3.002,19.865,0.91,0.506,0.05,0.183,0.16,0.019,0.267,0.259,0.055,0.805,0.75,0.269,female
0.2,0.062,0.211,0.184,0.236,0.051,2.544,14.922,0.904,0.425,0.05,0.2,0.156,0.016,0.267,0.25,0.055,0.898,0.844,0.33,female
0.195,0.072,0.205,0.181,0.256,0.075,2.392,10.061,0.907,0.524,0.193,0.195,0.183,0.025,0.276,0.27,0.055,0.703,0.648,0.295,female
0.209,0.058,0.22,0.19,0.25,0.059,1.708,5.671,0.88,0.344,0.05,0.209,0.162,0.017,0.262,0.261,0.055,0.813,0.758,0.252,female
0.168,0.071,0.189,0.158,0.217,0.058,3.02,17.791,0.901,0.492,0.05,0.168,0.168,0.016,0.271,0.253,0.055,0.914,0.859,0.408,female
0.18,0.078,0.204,0.127,0.24,0.113,2.765,12.822,0.927,0.58,0.242,0.18,0.162,0.017,0.276,0.207,0.055,0.547,0.492,0.31,female
0.205,0.069,0.216,0.192,0.255,0.063,1.919,7.537,0.897,0.41,0.05,0.205,0.163,0.017,0.276,0.205,0.047,0.758,0.711,0.235,female
0.198,0.063,0.212,0.184,0.236,0.053,2.176,9.766,0.902,0.45,0.05,0.198,0.163,0.017,0.271,0.357,0.055,0.93,0.875,0.265,female
0.184,0.07,0.205,0.18,0.227,0.047,2.781,12.557,0.91,0.527,0.05,0.184,0.144,0.016,0.271,0.223,0.055,1.016,0.961,0.206,female
0.192,0.038,0.199,0.17,0.214,0.044,2.475,9.899,0.89,0.261,0.209,0.192,0.171,0.033,0.276,0.839,0.008,6.992,6.984,0.193,female
0.193,0.038,0.205,0.171,0.213,0.043,3.649,19.037,0.874,0.278,0.211,0.193,0.157,0.016,0.246,0.648,0.008,5.953,5.945,0.103,female
0.191,0.043,0.193,0.158,0.218,0.06,1.608,5.225,0.911,0.309,0.193,0.191,0.163,0.059,0.271,0.656,0.148,6.82,6.672,0.089,female
0.184,0.045,0.179,0.155,0.211,0.056,1.698,5.955,0.913,0.338,0.157,0.184,0.157,0.019,0.258,0.798,0.008,5.953,5.945,0.21,female
0.189,0.045,0.182,0.157,0.22,0.063,1.667,6.355,0.916,0.322,0.163,0.189,0.155,0.016,0.254,0.452,0.141,2.609,2.469,0.101,female
0.197,0.042,0.194,0.174,0.224,0.05,2.034,8.095,0.899,0.27,0.178,0.197,0.187,0.016,0.276,0.337,0.008,0.664,0.656,0.279,female
0.161,0.088,0.205,0.061,0.23,0.17,1.633,5.674,0.936,0.569,0.232,0.161,0.198,0.062,0.276,0.741,0.008,3.969,3.961,0.293,female
0.148,0.08,0.172,0.078,0.201,0.123,1.718,5.962,0.956,0.724,0,0.148,0.161,0.016,0.258,1.033,0.008,5.133,5.125,0.253,female
0.109,0.086,0.07,0.03,0.193,0.164,1.688,5.695,0.939,0.622,0.022,0.109,0.175,0.036,0.229,1.224,0.031,5.953,5.922,0.233,female
0.147,0.088,0.17,0.053,0.223,0.17,1.115,3.992,0.964,0.747,0.167,0.147,0.196,0.056,0.276,0.412,0.008,2.977,2.969,0.109,female
0.111,0.088,0.088,0.03,0.195,0.165,1.722,6.765,0.963,0.747,0.009,0.111,0.189,0.016,0.262,0.681,0.008,4.914,4.906,0.113,female
0.157,0.087,0.175,0.067,0.23,0.163,1.309,5.047,0.957,0.697,0.169,0.157,0.178,0.042,0.276,0.368,0.008,0.914,0.906,0.315,female
0.161,0.091,0.189,0.062,0.243,0.181,1.181,3.957,0.958,0.725,0.26,0.161,0.194,0.057,0.258,0.462,0.023,0.742,0.719,0.247,female
0.118,0.068,0.106,0.064,0.174,0.11,0.142,2.21,0.974,0.762,0.036,0.118,0.193,0.026,0.25,0.372,0.016,0.906,0.891,0.313,female
0.123,0.085,0.146,0.032,0.199,0.167,1.483,4.788,0.941,0.62,0.194,0.123,0.187,0.033,0.239,0.611,0.016,3.773,3.758,0.19,female
0.164,0.086,0.185,0.085,0.234,0.149,1.6,6.619,0.966,0.769,0.22,0.164,0.19,0.069,0.271,0.727,0.039,3.523,3.484,0.333,female
0.114,0.078,0.084,0.046,0.185,0.139,0.814,2.998,0.955,0.663,0.178,0.114,0.161,0.017,0.235,0.826,0.016,4.391,4.375,0.278,female
0.149,0.084,0.185,0.065,0.215,0.15,2.436,11.596,0.956,0.718,0.214,0.149,0.187,0.051,0.276,0.609,0.008,3.406,3.398,0.205,female
0.164,0.081,0.199,0.096,0.226,0.13,1.822,6.116,0.931,0.601,0.204,0.164,0.189,0.041,0.254,0.173,0.016,0.563,0.547,0.346,female
0.111,0.085,0.082,0.032,0.193,0.161,1.599,5.539,0.953,0.689,0.015,0.111,0.19,0.031,0.267,0.777,0.008,4.672,4.664,0.075,female
0.103,0.092,0.074,0.016,0.202,0.187,3.222,14.977,0.937,0.674,0.007,0.103,0.196,0.105,0.246,0.788,0.008,3.5,3.492,0.149,female
0.195,0.073,0.217,0.189,0.24,0.051,7.727,120.469,0.888,0.368,0.05,0.195,0.167,0.017,0.276,0.152,0.055,0.719,0.664,0.229,female
0.197,0.065,0.21,0.19,0.238,0.048,9.442,159.098,0.878,0.333,0.05,0.197,0.164,0.016,0.271,0.156,0.055,0.789,0.734,0.168,female
0.18,0.065,0.199,0.174,0.22,0.047,10.185,175.697,0.874,0.386,0.05,0.18,0.131,0.017,0.267,0.09,0.055,0.406,0.352,0.132,female
0.162,0.078,0.19,0.078,0.219,0.141,6.15,73.512,0.932,0.631,0.05,0.162,0.144,0.017,0.276,0.183,0.055,0.758,0.703,0.244,female
0.19,0.062,0.213,0.18,0.225,0.045,5.588,58.203,0.862,0.338,0.05,0.19,0.15,0.016,0.271,0.163,0.055,0.734,0.68,0.229,female
0.188,0.069,0.209,0.183,0.226,0.043,9.507,150.627,0.874,0.378,0.05,0.188,0.159,0.018,0.267,0.165,0.055,0.641,0.586,0.315,female
0.191,0.076,0.206,0.179,0.247,0.068,7.807,124.648,0.904,0.448,0.05,0.191,0.147,0.016,0.276,0.174,0.055,0.617,0.563,0.281,female
0.197,0.065,0.212,0.185,0.238,0.054,4.385,47.255,0.897,0.394,0.05,0.197,0.16,0.017,0.267,0.224,0.055,0.555,0.5,0.367,female
0.19,0.069,0.209,0.183,0.237,0.054,4.735,46.59,0.885,0.385,0.05,0.19,0.185,0.017,0.258,0.222,0.055,0.859,0.805,0.237,female
0.193,0.062,0.208,0.184,0.226,0.043,4.352,42.713,0.884,0.369,0.05,0.193,0.178,0.026,0.267,0.188,0.055,0.734,0.68,0.278,female
0.193,0.037,0.191,0.174,0.211,0.037,3.031,15.538,0.884,0.169,0.191,0.193,0.174,0.023,0.276,0.719,0.148,6.984,6.836,0.087,female
0.196,0.058,0.202,0.191,0.231,0.041,3.923,24.294,0.892,0.433,0.2,0.196,0.15,0.017,0.25,0.463,0.008,1.906,1.898,0.196,female
0.197,0.051,0.204,0.181,0.232,0.052,2.2,8.188,0.904,0.405,0.182,0.197,0.193,0.03,0.276,0.444,0.164,0.867,0.703,0.445,female
0.182,0.083,0.216,0.144,0.237,0.093,2.506,10.819,0.921,0.532,0.229,0.182,0.157,0.016,0.271,0.449,0.008,4.102,4.094,0.147,female
0.09,0.069,0.063,0.04,0.128,0.089,1.645,5.022,0.946,0.656,0.048,0.09,0.178,0.02,0.271,2.254,0.008,5.383,5.375,0.294,female
0.2,0.067,0.214,0.182,0.249,0.067,1.685,5.678,0.923,0.506,0.261,0.2,0.148,0.016,0.276,0.886,0.008,6.742,6.734,0.192,female
0.205,0.06,0.224,0.196,0.238,0.042,3,14.702,0.897,0.416,0.231,0.205,0.133,0.016,0.276,0.404,0.008,5.141,5.133,0.103,female
0.197,0.063,0.214,0.194,0.229,0.036,3.541,19.561,0.895,0.432,0.218,0.197,0.163,0.016,0.276,0.419,0.008,5.289,5.281,0.087,female
0.193,0.068,0.213,0.187,0.234,0.047,2.16,7.64,0.914,0.5,0.208,0.193,0.147,0.016,0.276,0.426,0.008,6.547,6.539,0.079,female
0.21,0.066,0.233,0.197,0.248,0.051,2.293,9.119,0.904,0.442,0.242,0.21,0.197,0.036,0.276,1.336,0.023,7,6.977,0.267,female
0.195,0.063,0.21,0.177,0.238,0.061,1.6,5.335,0.921,0.511,0.216,0.195,0.188,0.018,0.258,1.494,0.078,6.969,6.891,0.305,female
0.184,0.057,0.19,0.171,0.213,0.042,3.049,13.728,0.898,0.458,0.211,0.184,0.175,0.016,0.276,0.3,0.008,5.102,5.094,0.073,female
0.201,0.069,0.217,0.186,0.251,0.065,1.451,4.173,0.922,0.489,0.228,0.201,0.132,0.016,0.276,0.831,0.008,6.539,6.531,0.152,female
0.194,0.052,0.205,0.173,0.225,0.052,1.846,6.147,0.91,0.455,0.223,0.194,0.183,0.021,0.276,0.292,0.008,2.07,2.063,0.117,female
0.164,0.067,0.163,0.141,0.212,0.071,2.984,14.447,0.949,0.698,0.156,0.164,0.141,0.016,0.235,0.189,0.008,0.367,0.359,0.334,female
0.183,0.061,0.2,0.163,0.221,0.059,2.076,7.609,0.931,0.572,0.201,0.183,0.185,0.02,0.262,0.322,0.008,3.539,3.531,0.095,female
0.196,0.058,0.205,0.181,0.233,0.052,2.183,8.429,0.913,0.475,0.201,0.196,0.188,0.07,0.262,0.206,0.008,0.383,0.375,0.162,female
0.176,0.06,0.187,0.155,0.215,0.059,1.427,4.218,0.943,0.626,0.21,0.176,0.175,0.022,0.242,0.39,0.016,3.914,3.898,0.119,female
0.191,0.064,0.194,0.148,0.249,0.1,1.12,3.519,0.939,0.58,0.145,0.191,0.138,0.017,0.271,0.184,0.016,0.273,0.258,0.319,female
0.197,0.053,0.213,0.183,0.228,0.044,2.34,8.065,0.9,0.442,0.212,0.197,0.182,0.019,0.276,0.235,0.102,0.461,0.359,0.113,female
0.188,0.062,0.206,0.177,0.227,0.051,2.453,9.086,0.916,0.513,0.231,0.188,0.171,0.016,0.276,0.207,0.008,0.469,0.461,0.122,female
0.188,0.07,0.207,0.168,0.233,0.066,1.802,6.419,0.943,0.611,0.231,0.188,0.157,0.016,0.258,0.491,0.008,3.68,3.672,0.14,female
0.191,0.061,0.207,0.163,0.236,0.073,1.311,4.038,0.933,0.581,0.244,0.191,0.176,0.018,0.25,0.208,0.164,0.258,0.094,0.324,female
0.151,0.086,0.184,0.061,0.221,0.16,1.66,6.155,0.959,0.711,0.207,0.151,0.188,0.042,0.242,0.298,0.016,0.852,0.836,0.244,female
0.115,0.078,0.107,0.043,0.184,0.141,1.208,4.57,0.969,0.786,0.016,0.115,0.166,0.018,0.239,0.929,0.008,5.508,5.5,0.145,female
0.116,0.085,0.091,0.04,0.192,0.152,1.307,4.809,0.966,0.763,0.034,0.116,0.183,0.026,0.254,0.28,0.016,0.742,0.727,0.506,female
